시도명,시군구명,법정동명,법정동코드,기준연월,청년연령기준,총인구수,청년인구수,청년비율,총가구수,1인가구수,1인가구비율,기초수급가구수,기초수급가구비율,연결된_행정동수
서울특별시,서대문구,천연동,1141010600,2024,20-39세,4568,1176,0.2574430823117338,1983,717,0.3615733736762481,184,0.09278870398386284,1
서울특별시,서대문구,옥천동,1141010700,2024,20-39세,959,246,0.25651720542231493,416,150,0.3605769230769231,38,0.09134615384615384,1
서울특별시,서대문구,영천동,1141010800,2024,20-39세,2996,771,0.25734312416555405,1300,470,0.36153846153846153,120,0.09230769230769231,1
서울특별시,서대문구,현저동,1141010900,2024,20-39세,5016,1291,0.25737639553429026,2177,787,0.3615066605420303,202,0.09278824069820854,1
서울특별시,서대문구,북아현동,1141011000,2024,20-39세,27573,8612,0.31233453015631235,12757,5432,0.4258054401505056,883,0.06921690052520185,2
서울특별시,서대문구,홍제동,1141011100,2024,20-39세,54354,14365,0.26428597711299995,23232,7580,0.32627410468319556,1744,0.07506887052341597,3
서울특별시,서대문구,대현동,1141011200,2024,20-39세,9881,5036,0.5096650136625848,6172,4210,0.6821127673363577,217,0.03515878159429683,2
서울특별시,서대문구,대신동,1141011300,2024,20-39세,1541,927,0.6015574302401038,1089,838,0.7695133149678605,26,0.023875114784205693,1
서울특별시,서대문구,신촌동,1141011400,2024,20-39세,848,510,0.6014150943396226,599,461,0.7696160267111853,14,0.02337228714524207,1
서울특별시,서대문구,봉원동,1141011500,2024,20-39세,359,216,0.6016713091922006,253,195,0.7707509881422925,6,0.023715415019762844,1
서울특별시,서대문구,창천동,1141011600,2024,20-39세,10706,6445,0.6019988791331964,7570,5822,0.7690885072655218,185,0.02443857331571995,1
서울특별시,서대문구,연희동,1141011700,2024,20-39세,33637,12758,0.37928471623509824,17462,9178,0.5255984423319208,772,0.044210285190699805,1
서울특별시,서대문구,홍은동,1141011800,2024,20-39세,50209,13393,0.26674500587544064,21058,7076,0.336024313799981,1611,0.07650299173710703,2
서울특별시,서대문구,북가좌동,1141011900,2024,20-39세,47566,12118,0.2547618046503805,20040,6504,0.32455089820359284,1693,0.0844810379241517,2
서울특별시,서대문구,남가좌동,1141012000,2024,20-39세,45469,11672,0.2567023686467703,18561,5943,0.3201874898981736,1399,0.07537309412208394,2
