자치구명,법정동코드,법정동명,주거비_압박지수
종로구,1111011800,내수동,0.2028
종로구,1111017400,창신동,0.2028
중랑구,1126010100,면목동,0.2026
성동구,1120010400,도선동,0.2023
영등포구,1156010500,영등포동4가,0.2023
마포구,1144012300,망원동,0.2023
강동구,1174010800,성내동,0.2022
은평구,1138010600,대조동,0.2022
송파구,1171010500,석촌동,0.2021
중랑구,1126010300,중화동,0.202
광진구,1121510500,자양동,0.2018
도봉구,1132010500,쌍문동,0.2017
구로구,1153011000,온수동,0.2016
동작구,1159010200,상도동,0.2012
용산구,1117012400,한강로1가,0.2009
서초구,1165010600,잠원동,0.2009
중랑구,1126010500,망우동,0.2006
강동구,1174010300,상일동,0.2005
마포구,1144012700,상암동,0.1996
성북구,1129011500,삼선동5가,0.1995
송파구,1171010100,잠실동,0.199
성동구,1120010200,하왕십리동,0.199
광진구,1121510300,구의동,0.1988
금천구,1154510200,독산동,0.1988
성동구,1120011400,성수동1가,0.1987
은평구,1138010800,역촌동,0.1987
성북구,1129012700,보문동5가,0.1979
서대문구,1141011800,홍은동,0.1975
노원구,1135010400,하계동,0.1973
용산구,1117011800,원효로4가,0.197
동대문구,1123010600,장안동,0.1969
강북구,1130510400,우이동,0.1968
광진구,1121510100,중곡동,0.1963
관악구,1162010200,신림동,0.1961
송파구,1171010400,송파동,0.196
영등포구,1156011900,문래동1가,0.1959
종로구,1111017300,명륜3가,0.1959
강서구,1150010100,염창동,0.1957
종로구,1111014900,원서동,0.1957
성북구,1129013000,보문동1가,0.1952
관악구,1162010300,남현동,0.1952
용산구,1117013600,보광동,0.195
송파구,1171010800,문정동,0.1949
종로구,1111010200,신교동,0.1949
송파구,1171010600,삼전동,0.1947
중구,1114013900,필동3가,0.1941
노원구,1135010500,상계동,0.194
강서구,1150010800,공항동,0.1938
서대문구,1141011900,북가좌동,0.1934
금천구,1154510100,가산동,0.1932
용산구,1117012300,신계동,0.1931
동대문구,1123010400,전농동,0.1928
양천구,1147010100,신정동,0.1922
강동구,1174010700,암사동,0.1921
노원구,1135010600,중계동,0.192
강서구,1150010700,외발산동,0.1916
강남구,1168010500,삼성동,0.191
강동구,1174010100,명일동,0.19
노원구,1135010200,월계동,0.1896
강동구,1174010600,둔촌동,0.1896
강북구,1130510200,번동,0.1893
서초구,1165011100,신원동,0.1893
성북구,1129011000,동소문동7가,0.1889
은평구,1138010400,갈현동,0.1888
강동구,1174010900,천호동,0.1888
영등포구,1156012100,문래동3가,0.1887
중랑구,1126010200,상봉동,0.1886
종로구,1111018400,부암동,0.1883
동대문구,1123010800,회기동,0.1879
종로구,1111014800,계동,0.1877
강동구,1174010500,길동,0.1876
강북구,1130510100,미아동,0.1872
중구,1114017100,중림동,0.187
마포구,1144012600,중동,0.1866
성북구,1129013700,상월곡동,0.1863
영등포구,1156011300,당산동3가,0.1855
종로구,1111011200,체부동,0.1855
성북구,1129013900,석관동,0.1853
강남구,1168010700,신사동,0.1848
성북구,1129011200,삼선동2가,0.1848
영등포구,1156012800,양평동4가,0.1847
송파구,1171010300,풍납동,0.1845
용산구,1117012800,한강로3가,0.1845
강남구,1168010100,역삼동,0.1844
강남구,1168010800,논현동,0.1838
서대문구,1141011200,대현동,0.1833
은평구,1138010500,구산동,0.183
중구,1114016400,무학동,0.1828
구로구,1153010900,궁동,0.1825
강남구,1168011800,도곡동,0.1823
영등포구,1156010300,영등포동2가,0.1822
마포구,1144012400,연남동,0.1821
종로구,1111011300,필운동,0.1821
양천구,1147010200,목동,0.1819
성동구,1120010900,금호동1가,0.1812
구로구,1153010200,구로동,0.1811
종로구,1111016500,이화동,0.1808
