시군구명,법정동명,법정동코드,cluster_id,cluster_label,청년비율,1인가구비율,기초수급가구비율,concentration_index,concentration_rank
강서구,공항동,1150010800,3,복합 밀집형,0.2623285341797982,0.3247721623860812,0.0756697045015189,0.3394595644745014,327
구로구,궁동,1153010900,3,복합 밀집형,0.2381744539273831,0.2928234677841802,0.0990047145102147,0.33711953969503305,328
구로구,온수동,1153011000,3,복합 밀집형,0.2381896652280415,0.2928752464094621,0.0988453956631934,0.33699136266505103,329
중구,남산동3가,1114013000,3,복합 밀집형,0.2,0.6,0.0,0.3367332050058428,330
도봉구,창동,1132010700,3,복합 밀집형,0.2580543521071288,0.3255482002482416,0.0738105088953247,0.3356301753982764,331
용산구,효창동,1117011900,3,복합 밀집형,0.3371804654711942,0.3306010928961748,0.0282331511839708,0.33553608113490047,332
마포구,마포동,1144010700,3,복합 밀집형,0.2844359220198146,0.3468917881811205,0.0506523407521105,0.3352972988325779,333
종로구,당주동,1111011700,3,복합 밀집형,0.2724137931034482,0.4341085271317829,0.0232558139534883,0.33524955610171137,334
종로구,통의동,1111010600,3,복합 밀집형,0.2741935483870967,0.4347826086956521,0.0217391304347826,0.3349795890135173,335
송파구,풍납동,1171010300,3,복합 밀집형,0.2738369213738457,0.3324753026297481,0.0617086406010852,0.3349193145547135,336
서대문구,남가좌동,1141012000,3,복합 밀집형,0.2567023686467703,0.3201874898981736,0.0753730941220839,0.3343873528670469,337
마포구,구수동,1144011300,3,복합 밀집형,0.3002309468822171,0.3684210526315789,0.031578947368421,0.3333329169650065,338
구로구,천왕동,1153011100,3,복합 밀집형,0.2272906533456027,0.2850146914789422,0.1038197845249755,0.3329930173389305,339
성동구,금호동2가,1120011000,3,복합 밀집형,0.2842454749919674,0.3045890065557236,0.064548663640948,0.3326712549172239,340
성동구,금호동3가,1120011100,3,복합 밀집형,0.2843112352891372,0.3045644807653976,0.064381104245565,0.3325331285828296,341
성동구,금호동4가,1120011200,3,복합 밀집형,0.2589171521955378,0.3121594005449591,0.0732288828337874,0.3304163042837639,342
은평구,증산동,1138011000,3,복합 밀집형,0.2676971608832807,0.3028211284513805,0.071578631452581,0.3299676138385765,343
강동구,암사동,1174010700,3,복합 밀집형,0.2603272015172775,0.3039685836196805,0.0733300607937167,0.3281499463990738,344
중구,남산동1가,1114012800,3,복합 밀집형,0.2352941176470588,0.5263157894736842,0.0,0.32763809803237776,345
마포구,염리동,1144010900,3,복합 밀집형,0.287785610719464,0.3336569972083991,0.0460007282437189,0.32749387274058567,346
송파구,장지동,1171010900,3,복합 밀집형,0.2967107956871844,0.319153828466314,0.0462175212692573,0.3269823161629696,347
은평구,수색동,1138010100,3,복합 밀집형,0.2970554819163037,0.2375799311362518,0.0764879488440728,0.3257063097909997,348
송파구,오금동,1171011200,3,복합 밀집형,0.2580645161290322,0.2698701123897974,0.084191399152029,0.32456340345544826,349
동작구,동작동,1159010600,3,복합 밀집형,0.2774108322324967,0.3174603174603174,0.0507936507936507,0.3204193367681077,350
종로구,평동,1111017700,3,복합 밀집형,0.2595222724338282,0.3343605546995377,0.0508474576271186,0.31728009412245034,351
종로구,행촌동,1111018100,3,복합 밀집형,0.2598967297762478,0.3345070422535211,0.0504694835680751,0.3171673832244083,352
강남구,삼성동,1168010500,3,복합 밀집형,0.27390320908534,0.3717484926787252,0.0278495549813379,0.3167589126062957,353
종로구,홍파동,1111017900,3,복합 밀집형,0.2598978288633461,0.3338414634146341,0.0503048780487804,0.3167526920421964,354
종로구,삼청동,1111014000,3,복합 밀집형,0.2362903225806451,0.3822393822393822,0.0444015444015444,0.3167121407928176,355
구로구,개봉동,1153010700,3,복합 밀집형,0.2490409246344482,0.2794288610009837,0.0772647330610784,0.3165595689982985,356
종로구,교북동,1111018000,3,복합 밀집형,0.2592592592592592,0.3333333333333333,0.0505050505050505,0.3164108238938728,357
종로구,송월동,1111017800,3,복합 밀집형,0.2594718714121699,0.3342465753424657,0.0493150684931506,0.3157076980238342,358
양천구,신정동,1147010100,3,복합 밀집형,0.2305667207296147,0.2705925406361502,0.0895520112225915,0.3152730065756048,359
종로구,팔판동,1111013900,3,복합 밀집형,0.2348754448398576,0.3846153846153846,0.0427350427350427,0.3152230751256184,360
