시도명,시군구명,법정동명,법정동코드,법정동코드8,기준연월,청년연령기준,총인구수,청년인구수,청년비율,청년비율_norm,총가구수,1인가구수,1인가구비율,1인가구비율_norm,기초수급가구수,기초수급가구비율,기초수급가구비율_norm,concentration_index,concentration_rank,cluster_id,cluster_label,neighbor_count,spatial_lag_ci_centered,local_moran_i,lisa_p_value,lisa_cluster,연결된_행정동수
서울특별시,서대문구,연희동,1141011700,11410117,2024,20-39세,33637,12758,0.3792847162350982,0.5840254598195738,17462,9178,0.5255984423319208,0.6685223194607859,772,0.0442102851906998,0.12378879853395945,0.4482916862619724,156,0,청년 밀집형,8,0.08472512178007657,0.0043517359336115264,0.098,Not significant,1
서울특별시,중구,순화동,1114016800,11140168,2024,20-39세,1916,519,0.2708768267223382,0.4170981758804158,946,508,0.5369978858350951,0.6830215679317159,93,0.0983086680761099,0.27526427061310776,0.447233326652248,157,3,복합 밀집형,8,-0.13904846807878057,-0.006994782368879374,0.019,HL,2
서울특별시,중구,예장동,1114014200,11140142,2024,20-39세,666,217,0.3258258258258258,0.5017090581395043,317,189,0.5962145110410094,0.7583407326112374,14,0.0441640378548895,0.12365930599369063,0.4463811472299894,158,0,청년 밀집형,10,0.05190988679393471,0.0025670713464071037,0.246,Not significant,2
서울특별시,광진구,중곡동,1121510100,11215101,2024,20-39세,77946,25302,0.3246093449311061,0.4998359117049403,37406,16661,0.4454098273004331,0.5665283358459253,3828,0.1023365235523712,0.2865422659466394,0.44519086293183047,159,3,복합 밀집형,6,0.0568798950909915,0.002745147212602534,0.368,Not significant,4
서울특별시,영등포구,양평동1가,1156012500,11560125,2024,20-39세,3716,1538,0.4138858988159311,0.6373046210988965,1897,955,0.503426462836057,0.6403212024752616,57,0.0300474433315761,0.08413284132841309,0.4445994725921368,160,0,청년 밀집형,6,-0.00631063929710383,-0.0003008331005668719,0.913,Not significant,1
서울특별시,중구,주자동,1114014100,11140141,2024,20-39세,10,4,0.4,0.6159230096237971,5,3,0.6,0.7631555944055944,0,0.0,0.0,0.44451973169000725,161,0,청년 밀집형,4,0.003035816236705624,0.0001444776506463053,0.977,Not significant,1
서울특별시,영등포구,양평동2가,1156012600,11560126,2024,20-39세,5385,2229,0.4139275766016713,0.6373687968669655,2749,1384,0.5034558021098581,0.6403585198601568,82,0.0298290287377228,0.08352128046562385,0.44441908302445327,162,0,청년 밀집형,4,-0.11120973872344737,-0.005281393964284538,0.126,Not significant,1
서울특별시,강남구,역삼동,1168010100,11680101,2024,20-39세,70432,25023,0.3552788505224897,0.5470610471737374,35532,19469,0.5479286277158617,0.6969246626272335,1466,0.0412585838117753,0.11552403467297086,0.4409821774345179,163,0,청년 밀집형,6,-0.09996642118001586,-0.004403869267332139,0.106,Not significant,2
서울특별시,중랑구,면목동,1126010100,11260101,2024,20-39세,132548,36666,0.2766243172284757,0.4259482050062268,62540,26281,0.4202270546850016,0.5344977128390744,8230,0.1315957787016309,0.3684681803645665,0.4383950487315,164,3,복합 밀집형,5,0.04148368361827931,0.0017201772184465723,0.519,Not significant,6
서울특별시,용산구,후암동,1117010100,11170101,2024,20-39세,15804,4901,0.310111364211592,0.47751181190936304,7332,3264,0.4451718494271686,0.5662256456037144,736,0.1003818876159301,0.28106928532460435,0.4353710777130029,165,3,복합 밀집형,7,0.09027525770188101,0.0034703962660232687,0.106,Not significant,1
서울특별시,마포구,성산동,1144012500,11440125,2024,20-39세,50569,17556,0.3471692143408016,0.534573768363789,24028,10857,0.4518478441817879,0.5747170168457313,1854,0.0771599800233061,0.2160479440652571,0.43513270440388546,166,3,복합 밀집형,7,0.027293164738830582,0.0010427084009302097,0.606,Not significant,2
서울특별시,동대문구,이문동,1123011000,11230110,2024,20-39세,35576,11659,0.3277209354621093,0.5046271622163713,18271,9132,0.4998084396037436,0.6357193446912126,1239,0.0678123802747523,0.18987466476930645,0.433791442852351,167,3,복합 밀집형,5,0.05248733646277387,0.001934827600597302,0.41,Not significant,2
서울특별시,강북구,수유동,1130510300,11305103,2024,20-39세,108880,28182,0.2588354151359294,0.39855671971936635,51296,21871,0.4263685277604491,0.5423092120647729,6814,0.1328368683718028,0.3719432314410479,0.43236774652557686,168,3,복합 밀집형,6,-0.005283839538532832,-0.00018725427687288292,0.941,Not significant,5
