시군구명,법정동명,법정동코드,CI
종로구,삼청동,1111014000,0.3167121407928176
구로구,개봉동,1153010700,0.3165595689982985
종로구,교북동,1111018000,0.3164108238938728
종로구,송월동,1111017800,0.3157076980238342
양천구,신정동,1147010100,0.3152730065756048
종로구,팔판동,1111013900,0.3152230751256184
종로구,원서동,1111014900,0.314285803119326
종로구,가회동,1111014600,0.31389301140941145
강동구,둔촌동,1174010600,0.3136103630744025
종로구,교남동,1111017600,0.3132215922788906
구로구,항동,1153011200,0.31246360383531735
종로구,계동,1111014800,0.3123894623298369
동작구,흑석동,1159010500,0.3123424133451701
중구,을지로2가,1114010500,0.310551706028248
종로구,안국동,1111014100,0.3093776796796842
종로구,화동,1111014300,0.3079901112699567
종로구,누상동,1111010900,0.30649147072267136
종로구,재동,1111014700,0.30599974783627254
종로구,누하동,1111011000,0.30577342421870923
종로구,신문로1가,1111012000,0.30559685863461805
종로구,내자동,1111011400,0.30559685863461805
종로구,청운동,1111010100,0.30546185915966434
서초구,서초동,1165010800,0.30522983237273293
종로구,옥인동,1111011100,0.3052023899367602
종로구,신교동,1111010200,0.3051836759397854
송파구,거여동,1171011300,0.3050195900564455
종로구,통인동,1111010800,0.30473075515192943
종로구,효자동,1111010400,0.3040147770050281
종로구,창성동,1111010500,0.30336199713596146
종로구,사간동,1111014400,0.3031556608883979
종로구,소격동,1111014200,0.3031556608883979
강남구,일원동,1168011400,0.3023609846901677
마포구,용강동,1144010500,0.30134883674787283
종로구,궁정동,1111010300,0.29962521219489996
중구,저동1가,1114013100,0.2985754252855631
서초구,내곡동,1165010900,0.2982282114893455
서초구,신원동,1165011100,0.29814655319469385
서초구,방배동,1165010100,0.29813302896760313
마포구,토정동,1144010600,0.2975202012905898
용산구,동빙고동,1117013200,0.2970415545859853
용산구,서빙고동,1117013300,0.2968710748337783
서초구,염곡동,1165011000,0.2966634406450941
종로구,적선동,1111010700,0.29528975713957184
용산구,주성동,1117013400,0.2951825361865995
강서구,외발산동,1150010700,0.29397888027813635
강남구,청담동,1168010400,0.2929759658005505
종로구,부암동,1111018400,0.29116341339736485
종로구,신영동,1111018600,0.29110289012568735
종로구,홍지동,1111018500,0.290398746460399
은평구,진관동,1138011400,0.2889443163779165
성동구,옥수동,1120011300,0.28542967660996815
송파구,가락동,1171010700,0.2802416304141955
양천구,목동,1147010200,0.27910377303921935
강서구,내발산동,1150010600,0.2791007783603968
중구,다동,1114010200,0.2769928434311463
강동구,상일동,1174010300,0.27554934494244787
영등포구,문래동3가,1156012100,0.2713385190950198
영등포구,문래동6가,1156012400,0.27123600315902185
영등포구,문래동5가,1156012300,0.2707287425680917
영등포구,문래동4가,1156012200,0.2705642883650116
영등포구,문래동2가,1156012000,0.26870679198030273
송파구,잠실동,1171010100,0.26719084138019533
중구,의주로2가,1114017200,0.26192575742280466
영등포구,문래동1가,1156011900,0.25856284970405635
종로구,무악동,1111018700,0.2571061646484656
구로구,신도림동,1153010100,0.25536003592248496
강남구,개포동,1168010300,0.25228592000192945
영등포구,여의도동,1156011000,0.2513373300627458
중구,남대문로3가,1114011600,0.25087820063521343
강동구,명일동,1174010100,0.2484261842513899
성북구,길음동,1129013400,0.24807567835535274
성동구,응봉동,1120010800,0.24747203619110655
서초구,반포동,1165010700,0.24124836382834816
강남구,압구정동,1168011000,0.24006446660422967
강남구,신사동,1168010700,0.23992169554434287
강남구,대치동,1168010600,0.23572511472627328
중구,남대문로4가,1114011700,0.23497912575176355
종로구,평창동,1111018300,0.23331396580162553
종로구,구기동,1111018200,0.23286274272115973
강동구,고덕동,1174010200,0.22920899463677852
서초구,잠원동,1165010600,0.22365488004305262
용산구,이촌동,1117012900,0.218698567949883
강남구,도곡동,1168011800,0.2055102988009464
중구,충무로1가,1114012400,0.1933822008317579
광진구,광장동,1121510400,0.19219217410863204
송파구,신천동,1171010200,0.16231808418533222
중구,봉래동2가,1114012000,0.0
영등포구,양화동,1156013100,0.0
중구,남대문로1가,1114010600,0.0
종로구,세종로,1111011900,0.0
종로구,서린동,1111012300,0.0
종로구,공평동,1111012700,0.0
강서구,과해동,1150011100,0.0
용산구,용산동1가,1117010600,0.0
강서구,오곡동,1150011200,0.0
강서구,오쇠동,1150011300,0.0
영등포구,양평동,1156013400,0.0
종로구,송현동,1111014500,0.0
중구,남대문로2가,1114011500,0.0
용산구,용산동6가,1117013500,0.0
중구,소공동,1114011100,0.0
중구,수표동,1114011000,0.0
종로구,훈정동,1111015000,0.0
중구,충정로1가,1114017000,0.0
용산구,용산동4가,1117010300,0.0
중구,장교동,1114010900,0.0
중구,수하동,1114010800,0.0
중구,무교동,1114010100,0.0
중구,태평로1가,1114010300,0.0
중구,을지로1가,1114010400,0.0
종로구,도렴동,1111011600,0.0
중구,삼각동,1114010700,0.0
중구,명동1가,1114012600,0.0
