LDRI_rank,법정동코드,시군구명,법정동명,관측품질,CI,주거비_압박지수,D1_score,LDRI_raw,LDRI,LDRI_등급,위험유형
238,1111018100,종로구,행촌동,주거비관측,0.317167,0.2105,0.2105,0.066764,33.195127,낮음,이탈진행형
239,1144011400,마포구,창전동,주거비관측,0.391758,0.1701,0.1701,0.066638,33.127592,낮음,안정형
240,1141011900,서대문구,북가좌동,주거비관측,0.343932,0.1934,0.1934,0.066517,33.062245,낮음,안정형
241,1156013300,영등포구,대림동,주거비관측,0.386412,0.1718,0.1718,0.066386,32.991844,낮음,안정형
242,1150010800,강서구,공항동,주거비관측,0.33946,0.1938,0.1938,0.065787,32.670291,낮음,안정형
243,1138010700,은평구,응암동,주거비관측,0.375552,0.1749,0.1749,0.065684,32.614857,낮음,안정형
244,1114017300,중구,만리동1가,주거비관측,0.412633,0.1589,0.1589,0.065567,32.552135,낮음,잠재위험형
245,1129011900,성북구,동선동4가,주거비관측,0.546772,0.1188,0.1188,0.064957,32.223789,낮음,잠재위험형
246,1174010200,강동구,고덕동,주거비관측,0.229209,0.283,0.283,0.064866,32.175205,낮음,이탈진행형
247,1138010500,은평구,구산동,주거비관측,0.35283,0.183,0.183,0.064568,32.014933,낮음,안정형
248,1129010400,성북구,동소문동1가,주거비관측,0.390933,0.1645,0.1645,0.064309,31.875502,낮음,안정형
249,1123010100,동대문구,신설동,주거비관측,0.474316,0.1353,0.1353,0.064175,31.803737,낮음,잠재위험형
250,1165010100,서초구,방배동,주거비관측,0.298133,0.2139,0.2139,0.063771,31.586397,낮음,이탈진행형
251,1144010500,마포구,용강동,주거비관측,0.301349,0.2116,0.2116,0.063765,31.583581,낮음,이탈진행형
252,1147010300,양천구,신월동,주거비관측,0.369553,0.1724,0.1724,0.063711,31.554296,낮음,안정형
253,1165010800,서초구,서초동,주거비관측,0.30523,0.2085,0.2085,0.06364,31.516398,낮음,이탈진행형
254,1165010300,서초구,우면동,주거비관측,0.356908,0.1781,0.1781,0.063565,31.476024,낮음,안정형
255,1111011200,종로구,체부동,주거비관측,0.340325,0.1855,0.1855,0.06313,31.242234,낮음,안정형
256,1174010700,강동구,암사동,주거비관측,0.32815,0.1921,0.1921,0.063038,31.192395,낮음,안정형
257,1132010800,도봉구,도봉동,주거비관측,0.377193,0.1665,0.1665,0.062803,31.066099,낮음,안정형
258,1120010900,성동구,금호동1가,주거비관측,0.346527,0.1812,0.1812,0.062791,31.059705,낮음,안정형
259,1117013400,용산구,주성동,주거비관측,0.295183,0.2123,0.2123,0.062667,30.993337,낮음,이탈진행형
260,1138010900,은평구,신사동,주거비관측,0.354646,0.1758,0.1758,0.062347,30.821078,낮음,안정형
261,1111011300,종로구,필운동,주거비관측,0.342233,0.1821,0.1821,0.062321,30.807024,낮음,안정형
262,1111010400,종로구,효자동,주거비관측,0.304015,0.2045,0.2045,0.062171,30.726622,낮음,이탈진행형
263,1171010300,송파구,풍납동,주거비관측,0.334919,0.1845,0.1845,0.061793,30.523234,낮음,안정형
264,1153010900,구로구,궁동,주거비관측,0.33712,0.1825,0.1825,0.061524,30.379028,낮음,안정형
265,1129013300,성북구,정릉동,주거비관측,0.359532,0.1711,0.1711,0.061516,30.374488,매우낮음,안정형
266,1111014900,종로구,원서동,주거비관측,0.314286,0.1957,0.1957,0.061506,30.369039,매우낮음,안정형
267,1126010400,중랑구,묵동,주거비관측,0.36807,0.1668,0.1668,0.061394,30.308987,매우낮음,안정형
268,1168011200,강남구,자곡동,주거비관측,0.375311,0.1634,0.1634,0.061326,30.272353,매우낮음,안정형
269,1132010600,도봉구,방학동,주거비관측,0.36889,0.1658,0.1658,0.061162,30.184242,매우낮음,안정형
270,1111011500,종로구,사직동,주거비관측,0.342613,0.1782,0.1782,0.061054,30.126008,매우낮음,안정형
271,1147010100,양천구,신정동,주거비관측,0.315273,0.1922,0.1922,0.060595,29.87979,매우낮음,안정형
272,1168010500,강남구,삼성동,주거비관측,0.316759,0.191,0.191,0.060501,29.828987,매우낮음,안정형
273,1117012200,용산구,문배동,주거비관측,0.45947,0.1312,0.1312,0.060282,29.711555,매우낮음,잠재위험형
274,1111017100,종로구,명륜2가,주거비관측,0.472495,0.1273,0.1273,0.060149,29.639635,매우낮음,잠재위험형
275,1141011000,서대문구,북아현동,주거비관측,0.398638,0.1508,0.1508,0.060115,29.621314,매우낮음,안정형
276,1150010600,강서구,내발산동,주거비관측,0.279101,0.2136,0.2136,0.059616,29.353301,매우낮음,이탈진행형
277,1111010200,종로구,신교동,주거비관측,0.305184,0.1949,0.1949,0.05948,29.280403,매우낮음,안정형
278,1174010600,강동구,둔촌동,주거비관측,0.31361,0.1896,0.1896,0.059461,29.269775,매우낮음,안정형
279,1156011200,영등포구,당산동2가,주거비관측,0.464703,0.1268,0.1268,0.058924,28.981568,매우낮음,잠재위험형
280,1153010100,구로구,신도림동,주거비관측,0.25536,0.2304,0.2304,0.058835,28.93354,매우낮음,이탈진행형
281,1111014800,종로구,계동,주거비관측,0.312389,0.1877,0.1877,0.058636,28.826339,매우낮음,안정형
282,1120011200,성동구,금호동4가,주거비관측,0.330416,0.1736,0.1736,0.05736,28.140924,매우낮음,안정형
283,1144010100,마포구,아현동,주거비관측,0.362838,0.1577,0.1577,0.05722,28.065324,매우낮음,안정형
284,1114017400,중구,만리동2가,주거비관측,0.414018,0.1381,0.1381,0.057176,28.0418,매우낮음,잠재위험형
285,1171010700,송파구,가락동,주거비관측,0.280242,0.2036,0.2036,0.057057,27.978026,매우낮음,이탈진행형
286,1165011100,서초구,신원동,주거비관측,0.298147,0.1893,0.1893,0.056439,27.645833,매우낮음,안정형
287,1150010700,강서구,외발산동,주거비관측,0.293979,0.1916,0.1916,0.056326,27.585211,매우낮음,안정형
288,1153010700,구로구,개봉동,주거비관측,0.31656,0.1775,0.1775,0.056189,27.51156,매우낮음,안정형
289,1141010500,서대문구,냉천동,주거비관측,0.367462,0.1506,0.1506,0.05534,27.05496,매우낮음,안정형
290,1174010300,강동구,상일동,주거비관측,0.275549,0.2005,0.2005,0.055248,27.005422,매우낮음,안정형
291,1153011200,구로구,항동,주거비관측,0.312464,0.1768,0.1768,0.055244,27.00323,매우낮음,안정형
292,1111018400,종로구,부암동,주거비관측,0.291163,0.1883,0.1883,0.054826,26.778834,매우낮음,안정형
293,1120010800,성동구,응봉동,주거비관측,0.247472,0.217,0.217,0.053701,26.17436,매우낮음,이탈진행형
294,1168010300,강남구,개포동,주거비관측,0.252286,0.2113,0.2113,0.053308,25.962905,매우낮음,이탈진행형
295,1171010100,송파구,잠실동,주거비관측,0.267191,0.199,0.199,0.053171,25.889249,매우낮음,안정형
296,1117012000,용산구,도원동,주거비관측,0.387106,0.1373,0.1373,0.05315,25.877757,매우낮음,안정형
297,1123010900,동대문구,휘경동,주거비관측,0.451925,0.1133,0.1133,0.051203,24.831538,매우낮음,잠재위험형
298,1156012100,영등포구,문래동3가,주거비관측,0.271339,0.1887,0.1887,0.051202,24.830731,매우낮음,안정형
299,1111018200,종로구,구기동,주거비관측,0.232863,0.2185,0.2185,0.050881,24.658161,매우낮음,이탈진행형
300,1147010200,양천구,목동,주거비관측,0.279104,0.1819,0.1819,0.050769,24.598214,매우낮음,안정형
301,1156011900,영등포구,문래동1가,주거비관측,0.258563,0.1959,0.1959,0.050652,24.53559,매우낮음,안정형
302,1168010600,강남구,대치동,주거비관측,0.235725,0.2146,0.2146,0.050587,24.500195,매우낮음,이탈진행형
303,1165010700,서초구,반포동,주거비관측,0.241248,0.2077,0.2077,0.050107,24.242566,매우낮음,이탈진행형
304,1129012200,성북구,안암동2가,주거비관측,0.582066,0.086,0.086,0.050058,24.215917,매우낮음,잠재위험형
305,1111014600,종로구,가회동,주거비관측,0.313893,0.1588,0.1588,0.049846,24.102243,매우낮음,안정형
306,1120010300,성동구,홍익동,주거비관측,0.38621,0.1283,0.1283,0.049551,23.943416,매우낮음,안정형
307,1111018300,종로구,평창동,주거비관측,0.233314,0.206,0.206,0.048063,23.143624,매우낮음,이탈진행형
308,1111011000,종로구,누하동,주거비관측,0.305773,0.1561,0.1561,0.047731,22.965478,매우낮음,안정형
309,1117012900,용산구,이촌동,주거비관측,0.218699,0.2177,0.2177,0.047611,22.900682,매우낮음,이탈진행형
310,1174010100,강동구,명일동,주거비관측,0.248426,0.19,0.19,0.047201,22.680474,매우낮음,안정형
311,1165010600,서초구,잠원동,주거비관측,0.223655,0.2009,0.2009,0.044932,21.46108,매우낮음,이탈진행형
312,1121510400,광진구,광장동,주거비관측,0.192192,0.2334,0.2334,0.044858,21.420978,매우낮음,이탈진행형
313,1168010700,강남구,신사동,주거비관측,0.239922,0.1848,0.1848,0.044338,21.14142,매우낮음,안정형
314,1141010800,서대문구,영천동,주거비관측,0.367107,0.1152,0.1152,0.042291,20.04131,매우낮음,안정형
315,1129013200,성북구,보문동3가,주거비관측,0.40533,0.1016,0.1016,0.041182,19.445108,매우낮음,잠재위험형
316,1129012600,성북구,보문동4가,주거비관측,0.403971,0.098,0.098,0.039589,18.589237,매우낮음,잠재위험형
317,1138011400,은평구,진관동,주거비관측,0.288944,0.137,0.137,0.039585,18.587215,매우낮음,안정형
318,1153011100,구로구,천왕동,주거비관측,0.332993,0.1126,0.1126,0.037495,17.463683,매우낮음,안정형
319,1168011800,강남구,도곡동,주거비관측,0.20551,0.1823,0.1823,0.037465,17.447297,매우낮음,안정형
320,1168011300,강남구,율현동,주거비관측,0.374844,0.0967,0.0967,0.036247,16.7931,매우낮음,안정형
321,1111010500,종로구,창성동,주거비관측,0.303362,0.1194,0.1194,0.036221,16.779149,매우낮음,안정형
322,1165010900,서초구,내곡동,주거비관측,0.298228,0.1139,0.1139,0.033968,15.568076,매우낮음,안정형
323,1111014100,종로구,안국동,주거비관측,0.309378,0.1062,0.1062,0.032856,14.970243,매우낮음,안정형
324,1165011000,서초구,염곡동,주거비관측,0.296663,0.1094,0.1094,0.032455,14.75475,매우낮음,안정형
325,1111016000,종로구,연지동,주거비관측,0.546198,0.0554,0.0554,0.030259,13.574648,매우낮음,잠재위험형
326,1111013200,종로구,운니동,주거비관측,0.643742,0.0456,0.0456,0.029355,13.088359,매우낮음,잠재위험형
327,1129013100,성북구,보문동2가,주거비관측,0.404843,0.072,0.072,0.029149,12.977683,매우낮음,잠재위험형
328,1111018700,종로구,무악동,주거비관측,0.257106,0.1085,0.1085,0.027896,12.304385,매우낮음,안정형
329,1144011600,마포구,하중동,주거비관측,0.391337,0.0657,0.0657,0.025711,11.129901,매우낮음,안정형
330,1114012900,중구,남산동2가,주거비관측,0.384289,0.0438,0.0438,0.016832,6.357592,매우낮음,안정형
331,1114012200,중구,회현동2가,주거비관측,0.472021,0.0106,0.0106,0.005003,0,매우낮음,잠재위험형
,1111012200,종로구,청진동,주거비자료없음,0.667,,,,,,
,1111013400,종로구,경운동,주거비자료없음,0.654338,,,,,,
,1111013500,종로구,관철동,주거비자료없음,0.652637,,,,,,
,1111013700,종로구,낙원동,주거비자료없음,0.652438,,,,,,
,1111015900,종로구,원남동,주거비자료없음,0.652132,,,,,,
,1111015600,종로구,종로3가,주거비자료없음,0.652125,,,,,,
,1111015700,종로구,인의동,주거비자료없음,0.652069,,,,,,
,1111013100,종로구,권농동,주거비자료없음,0.651841,,,,,,
,1111013300,종로구,익선동,주거비자료없음,0.65165,,,,,,
,1111015300,종로구,돈의동,주거비자료없음,0.650744,,,,,,
,1111012900,종로구,견지동,주거비자료없음,0.650187,,,,,,
,1111015800,종로구,예지동,주거비자료없음,0.649826,,,,,,
,1111012400,종로구,수송동,주거비자료없음,0.648021,,,,,,
,1111015200,종로구,봉익동,주거비자료없음,0.647549,,,,,,
,1111012600,종로구,종로1가,주거비자료없음,0.646473,,,,,,
,1111013600,종로구,인사동,주거비자료없음,0.644507,,,,,,
,1111015400,종로구,장사동,주거비자료없음,0.644321,,,,,,
,1141011500,서대문구,봉원동,주거비자료없음,0.641603,,,,,,
,1111012800,종로구,관훈동,주거비자료없음,0.639489,,,,,,
,1111015100,종로구,묘동,주거비자료없음,0.637305,,,,,,
,1111013800,종로구,종로2가,주거비자료없음,0.622393,,,,,,
,1111016100,종로구,종로4가,주거비자료없음,0.568919,,,,,,
,1114015600,중구,입정동,주거비자료없음,0.553679,,,,,,
,1111013000,종로구,와룡동,주거비자료없음,0.552281,,,,,,
,1114015100,중구,을지로5가,주거비자료없음,0.551673,,,,,,
,1114013400,중구,인현동2가,주거비자료없음,0.550625,,,,,,
,1114015200,중구,주교동,주거비자료없음,0.550604,,,,,,
,1114015400,중구,오장동,주거비자료없음,0.549535,,,,,,
,1114015000,중구,을지로4가,주거비자료없음,0.549308,,,,,,
,1114014500,중구,광희동1가,주거비자료없음,0.548073,,,,,,
,1114016100,중구,저동2가,주거비자료없음,0.54775,,,,,,
,1168011500,강남구,수서동,주거비자료없음,0.547573,,,,,,
,1114015700,중구,산림동,주거비자료없음,0.546833,,,,,,
,1114015500,중구,을지로3가,주거비자료없음,0.545505,,,,,,
,1114015900,중구,초동,주거비자료없음,0.545479,,,,,,
,1111016400,종로구,종로6가,주거비자료없음,0.545178,,,,,,
,1111016300,종로구,종로5가,주거비자료없음,0.544727,,,,,,
,1111016200,종로구,효제동,주거비자료없음,0.543727,,,,,,
,1114015300,중구,방산동,주거비자료없음,0.5409,,,,,,
,1114016000,중구,인현동1가,주거비자료없음,0.536496,,,,,,
,1114013200,중구,충무로4가,주거비자료없음,0.532589,,,,,,
,1114013300,중구,충무로5가,주거비자료없음,0.531263,,,,,,
,1114014900,중구,을지로7가,주거비자료없음,0.519553,,,,,,
,1114016300,중구,흥인동,주거비자료없음,0.516932,,,,,,
,1114011200,중구,남창동,주거비자료없음,0.510415,,,,,,
,1114011800,중구,남대문로5가,주거비자료없음,0.509457,,,,,,
,1114015800,중구,충무로3가,주거비자료없음,0.490955,,,,,,
,1114013700,중구,필동1가,주거비자료없음,0.48724,,,,,,
,1150011000,강서구,개화동,주거비자료없음,0.475536,,,,,,
,1114013500,중구,예관동,주거비자료없음,0.469958,,,,,,
,1114014000,중구,남학동,주거비자료없음,0.454059,,,,,,
,1114016800,중구,순화동,주거비자료없음,0.447233,,,,,,
,1114014100,중구,주자동,주거비자료없음,0.44452,,,,,,
,1129010800,성북구,동소문동5가,주거비자료없음,0.42373,,,,,,
,1129010500,성북구,동소문동2가,주거비자료없음,0.423369,,,,,,
,1156011500,영등포구,당산동5가,주거비자료없음,0.421401,,,,,,
,1165010400,서초구,원지동,주거비자료없음,0.414636,,,,,,
,1141010300,서대문구,합동,주거비자료없음,0.410438,,,,,,
,1117012700,용산구,용산동5가,주거비자료없음,0.409904,,,,,,
,1114016700,중구,정동,주거비자료없음,0.407293,,,,,,
,1114016900,중구,의주로1가,주거비자료없음,0.402976,,,,,,
,1141010400,서대문구,미근동,주거비자료없음,0.402359,,,,,,
,1114011900,중구,봉래동1가,주거비자료없음,0.400752,,,,,,
,1114011300,중구,북창동,주거비자료없음,0.399912,,,,,,
,1120010100,성동구,상왕십리동,주거비자료없음,0.385692,,,,,,
,1129010600,성북구,동소문동3가,주거비자료없음,0.383284,,,,,,
,1114011400,중구,태평로2가,주거비자료없음,0.380648,,,,,,
,1117011600,용산구,청암동,주거비자료없음,0.380101,,,,,,
,1114012700,중구,명동2가,주거비자료없음,0.379714,,,,,,
,1144011700,마포구,신정동,주거비자료없음,0.370719,,,,,,
,1111012500,종로구,중학동,주거비자료없음,0.370433,,,,,,
,1141010900,서대문구,현저동,주거비자료없음,0.367584,,,,,,
,1114012500,중구,충무로2가,주거비자료없음,0.362685,,,,,,
,1114016600,중구,서소문동,주거비자료없음,0.355115,,,,,,
,1174011000,강동구,강일동,주거비자료없음,0.350323,,,,,,
,1114012300,중구,회현동3가,주거비자료없음,0.344432,,,,,,
,1114013000,중구,남산동3가,주거비자료없음,0.336733,,,,,,
,1111011700,종로구,당주동,주거비자료없음,0.33525,,,,,,
,1111010600,종로구,통의동,주거비자료없음,0.33498,,,,,,
,1114012800,중구,남산동1가,주거비자료없음,0.327638,,,,,,
,1171010900,송파구,장지동,주거비자료없음,0.326982,,,,,,
,1111017700,종로구,평동,주거비자료없음,0.31728,,,,,,
,1111014000,종로구,삼청동,주거비자료없음,0.316712,,,,,,
,1111018000,종로구,교북동,주거비자료없음,0.316411,,,,,,
,1111017800,종로구,송월동,주거비자료없음,0.315708,,,,,,
,1111013900,종로구,팔판동,주거비자료없음,0.315223,,,,,,
,1111017600,종로구,교남동,주거비자료없음,0.313222,,,,,,
,1114010500,중구,을지로2가,주거비자료없음,0.310552,,,,,,
,1111014300,종로구,화동,주거비자료없음,0.30799,,,,,,
,1111014700,종로구,재동,주거비자료없음,0.306,,,,,,
,1111012000,종로구,신문로1가,주거비자료없음,0.305597,,,,,,
,1111011400,종로구,내자동,주거비자료없음,0.305597,,,,,,
,1111014400,종로구,사간동,주거비자료없음,0.303156,,,,,,
,1111014200,종로구,소격동,주거비자료없음,0.303156,,,,,,
,1111010300,종로구,궁정동,주거비자료없음,0.299625,,,,,,
,1114013100,중구,저동1가,주거비자료없음,0.298575,,,,,,
,1111010700,종로구,적선동,주거비자료없음,0.29529,,,,,,
,1114010200,중구,다동,주거비자료없음,0.276993,,,,,,
,1156012400,영등포구,문래동6가,주거비자료없음,0.271236,,,,,,
,1156012300,영등포구,문래동5가,주거비자료없음,0.270729,,,,,,
,1156012200,영등포구,문래동4가,주거비자료없음,0.270564,,,,,,
,1156012000,영등포구,문래동2가,주거비자료없음,0.268707,,,,,,
,1114017200,중구,의주로2가,주거비자료없음,0.261926,,,,,,
,1156011000,영등포구,여의도동,주거비자료없음,0.251337,,,,,,
,1114011600,중구,남대문로3가,주거비자료없음,0.250878,,,,,,
,1168011000,강남구,압구정동,주거비자료없음,0.240064,,,,,,
,1114011700,중구,남대문로4가,주거비자료없음,0.234979,,,,,,
,1114012400,중구,충무로1가,주거비자료없음,0.193382,,,,,,
,1171010200,송파구,신천동,주거비자료없음,0.162318,,,,,,
,1114012000,중구,봉래동2가,주거비자료없음,0,,,,,,
,1156013100,영등포구,양화동,주거비자료없음,0,,,,,,
,1114010600,중구,남대문로1가,주거비자료없음,0,,,,,,
,1111011900,종로구,세종로,주거비자료없음,0,,,,,,
,1111012300,종로구,서린동,주거비자료없음,0,,,,,,
,1111012700,종로구,공평동,주거비자료없음,0,,,,,,
,1150011100,강서구,과해동,주거비자료없음,0,,,,,,
,1117010600,용산구,용산동1가,주거비자료없음,0,,,,,,
,1150011200,강서구,오곡동,주거비자료없음,0,,,,,,
,1150011300,강서구,오쇠동,주거비자료없음,0,,,,,,
,1156013400,영등포구,양평동,주거비자료없음,0,,,,,,
,1111014500,종로구,송현동,주거비자료없음,0,,,,,,
,1114011500,중구,남대문로2가,주거비자료없음,0,,,,,,
,1117013500,용산구,용산동6가,주거비자료없음,0,,,,,,
,1114011100,중구,소공동,주거비자료없음,0,,,,,,
,1114011000,중구,수표동,주거비자료없음,0,,,,,,
,1111015000,종로구,훈정동,주거비자료없음,0,,,,,,
,1114017000,중구,충정로1가,주거비자료없음,0,,,,,,
,1117010300,용산구,용산동4가,주거비자료없음,0,,,,,,
,1114010900,중구,장교동,주거비자료없음,0,,,,,,
,1114010800,중구,수하동,주거비자료없음,0,,,,,,
,1114010100,중구,무교동,주거비자료없음,0,,,,,,
,1114010300,중구,태평로1가,주거비자료없음,0,,,,,,
,1114010400,중구,을지로1가,주거비자료없음,0,,,,,,
,1111011600,종로구,도렴동,주거비자료없음,0,,,,,,
,1114010700,중구,삼각동,주거비자료없음,0,,,,,,
,1114012600,중구,명동1가,주거비자료없음,0,,,,,,
