순위,시군구명,법정동명,법정동코드,LDRI_raw,점수,총점_raw,총점
178,은평구,증산동,1138011000,0.198772,0.0218,0.192232,36.869563
179,송파구,송파동,1171010400,0.192299,0.0021,0.191669,36.761581
180,강서구,염창동,1150010100,0.191341,0,0.191341,36.698671
181,중랑구,상봉동,1126010200,0.237636,0.1583,0.190146,36.469474
182,도봉구,쌍문동,1132010500,0.19395,0.0161,0.18912,36.27269
183,서대문구,충정로2가,1141010100,0.18824,0,0.18824,36.103908
184,마포구,성산동,1144012500,0.238261,0.1693,0.187471,35.956416
185,도봉구,창동,1132010700,0.188473,0.0046,0.187093,35.883917
186,성북구,석관동,1129013900,0.194404,0.025,0.186904,35.847667
187,강서구,화곡동,1150010300,0.189754,0.0115,0.186304,35.732589
188,성북구,장위동,1129013800,0.230604,0.1478,0.186264,35.724917
189,동작구,대방동,1159010800,0.187164,0.0035,0.186114,35.696147
190,성북구,종암동,1129013500,0.218044,0.1065,0.186094,35.692311
191,영등포구,신길동,1156013200,0.244022,0.1933,0.186032,35.68042
192,종로구,신영동,1111018600,0.184401,0,0.184401,35.367599
193,종로구,내수동,1111011800,0.1842,0,0.1842,35.329047
194,성북구,보문동7가,1129012900,0.183661,0,0.183661,35.225669
195,동대문구,장안동,1123010600,0.188162,0.0158,0.183422,35.179829
196,강동구,길동,1174010500,0.19237,0.0307,0.18316,35.129578
197,영등포구,양평동3가,1156012700,0.183049,0,0.183049,35.108289
198,강남구,청담동,1168010400,0.182308,0.0017,0.181798,34.86835
199,광진구,자양동,1121510500,0.210133,0.0971,0.181003,34.715872
200,종로구,누상동,1111010900,0.179742,0,0.179742,34.474015
201,강남구,세곡동,1168011100,0.222787,0.144,0.179587,34.444287
202,강북구,수유동,1130510300,0.184365,0.0191,0.178635,34.261696
203,구로구,온수동,1153011000,0.180091,0.005,0.178591,34.253257
204,노원구,하계동,1135010400,0.219752,0.1395,0.177902,34.121108
205,구로구,구로동,1153010200,0.190014,0.0417,0.177504,34.044773
206,성북구,보문동6가,1129012800,0.184249,0.0332,0.174289,33.428145
207,강서구,공항동,1150010800,0.174002,0,0.174002,33.373099
208,성동구,마장동,1120010500,0.188157,0.0485,0.173607,33.297339
209,영등포구,대림동,1156013300,0.174283,0.0062,0.172423,33.070251
210,마포구,상수동,1144011500,0.176664,0.0176,0.171384,32.870974
211,중구,만리동1가,1114017300,0.171216,0,0.171216,32.838752
212,성북구,돈암동,1129010300,0.229591,0.196,0.170791,32.757238
213,마포구,용강동,1144010500,0.169475,0,0.169475,32.504833
214,성북구,동소문동1가,1129010400,0.168338,0.0009,0.168068,32.234975
215,용산구,주성동,1117013400,0.166585,0,0.166585,31.950539
216,종로구,체부동,1111011200,0.166542,0,0.166542,31.942292
217,성북구,동선동4가,1129011900,0.165529,0,0.165529,31.748001
218,동대문구,신설동,1123010100,0.165491,0,0.165491,31.740713
219,은평구,구산동,1138010500,0.170194,0.016,0.165394,31.722109
220,종로구,효자동,1111010400,0.164935,0,0.164935,31.634074
221,서대문구,홍은동,1141011800,0.181433,0.0562,0.164573,31.564643
222,마포구,창전동,1144011400,0.174831,0.0351,0.164301,31.512474
223,종로구,필운동,1111011300,0.16422,0,0.16422,31.496939
224,은평구,신사동,1138010900,0.163925,0,0.163925,31.440359
225,종로구,행촌동,1111018100,0.177395,0.0459,0.163625,31.38282
226,서초구,방배동,1165010100,0.169585,0.0199,0.163615,31.380902
227,종로구,원서동,1111014900,0.162769,0,0.162769,31.218641
228,강동구,암사동,1174010700,0.166644,0.0135,0.162594,31.185077
229,구로구,궁동,1153010900,0.162144,0,0.162144,31.098768
230,종로구,사직동,1111011500,0.160664,0,0.160664,30.814908
231,송파구,풍납동,1171010300,0.16296,0.0094,0.16014,30.714406
232,도봉구,방학동,1132010600,0.160187,0.0006,0.160007,30.688897
233,강남구,삼성동,1168010500,0.159884,0,0.159884,30.665306
234,금천구,시흥동,1154510300,0.214756,0.1834,0.159736,30.63692
235,종로구,신교동,1111010200,0.157372,0,0.157372,30.183512
236,중랑구,묵동,1126010400,0.160861,0.0184,0.155341,29.793971
