법정동코드,시군구명,법정동명,관측품질,CI,주거비_압박지수,LDRI,위험유형,차원비교유형
1111017500,종로구,숭인동,주거비관측,0.522956,0.3486,95.295259,강제잔류·압박형,CI 높음 / 주거비 높음
1111017400,종로구,창신동,주거비관측,0.430114,0.2028,44.193832,강제잔류·압박형,CI 높음 / 주거비 높음
1111016900,종로구,혜화동,주거비관측,0.472448,0.2109,50.865154,강제잔류·압박형,CI 높음 / 주거비 높음
1114016200,중구,신당동,주거비관측,0.406429,0.2115,43.512645,강제잔류·압박형,CI 높음 / 주거비 높음
1114014700,중구,쌍림동,주거비관측,0.550036,0.2123,60.074025,강제잔류·압박형,CI 높음 / 주거비 높음
1114014200,중구,예장동,주거비관측,0.446381,0.2413,55.204007,강제잔류·압박형,CI 높음 / 주거비 높음
1114014300,중구,장충동1가,주거비관측,0.51251,0.2365,62.458281,강제잔류·압박형,CI 높음 / 주거비 높음
1114014400,중구,장충동2가,주거비관측,0.506052,0.2312,60.195851,강제잔류·압박형,CI 높음 / 주거비 높음
1114012100,중구,회현동1가,주거비관측,0.472485,0.246,59.783139,강제잔류·압박형,CI 높음 / 주거비 높음
1126010500,중랑구,망우동,주거비관측,0.456823,0.2006,46.564995,강제잔류·압박형,CI 높음 / 주거비 높음
1126010100,중랑구,면목동,주거비관측,0.438395,0.2026,45.049373,강제잔류·압박형,CI 높음 / 주거비 높음
1126010300,중랑구,중화동,주거비관측,0.468414,0.202,48.16722,강제잔류·압박형,CI 높음 / 주거비 높음
1168011800,강남구,도곡동,주거비관측,0.20551,0.1823,17.447297,안정형,CI 낮음 / 주거비 낮음
1168010500,강남구,삼성동,주거비관측,0.316759,0.191,29.828987,안정형,CI 낮음 / 주거비 낮음
1168010700,강남구,신사동,주거비관측,0.239922,0.1848,21.14142,안정형,CI 낮음 / 주거비 낮음
1168011300,강남구,율현동,주거비관측,0.374844,0.0967,16.7931,안정형,CI 낮음 / 주거비 낮음
1168011200,강남구,자곡동,주거비관측,0.375311,0.1634,30.272353,안정형,CI 낮음 / 주거비 낮음
1174010500,강동구,길동,주거비관측,0.38844,0.1876,36.477892,안정형,CI 낮음 / 주거비 낮음
1174010600,강동구,둔촌동,주거비관측,0.31361,0.1896,29.269775,안정형,CI 낮음 / 주거비 낮음
1174010100,강동구,명일동,주거비관측,0.248426,0.19,22.680474,안정형,CI 낮음 / 주거비 낮음
1174010300,강동구,상일동,주거비관측,0.275549,0.2005,27.005422,안정형,CI 낮음 / 주거비 낮음
1174010700,강동구,암사동,주거비관측,0.32815,0.1921,31.192395,안정형,CI 낮음 / 주거비 낮음
1130510400,강북구,우이동,주거비관측,0.38002,0.1968,37.508001,안정형,CI 낮음 / 주거비 낮음
1150010800,강서구,공항동,주거비관측,0.33946,0.1938,32.670291,안정형,CI 낮음 / 주거비 낮음
1150010100,강서구,염창동,주거비관측,0.369455,0.1957,36.172036,안정형,CI 낮음 / 주거비 낮음
1150010700,강서구,외발산동,주거비관측,0.293979,0.1916,27.585211,안정형,CI 낮음 / 주거비 낮음
1121510300,광진구,구의동,주거비관측,0.391657,0.1988,39.15992,안정형,CI 낮음 / 주거비 낮음
1153010700,구로구,개봉동,주거비관측,0.31656,0.1775,27.51156,안정형,CI 낮음 / 주거비 낮음
1153010200,구로구,구로동,주거비관측,0.39831,0.1811,36.081478,안정형,CI 낮음 / 주거비 낮음
1153010900,구로구,궁동,주거비관측,0.33712,0.1825,30.379028,안정형,CI 낮음 / 주거비 낮음
1153011100,구로구,천왕동,주거비관측,0.332993,0.1126,17.463683,안정형,CI 낮음 / 주거비 낮음
1153011200,구로구,항동,주거비관측,0.312464,0.1768,27.00323,안정형,CI 낮음 / 주거비 낮음
1135010500,노원구,상계동,주거비관측,0.353366,0.194,34.156858,안정형,CI 낮음 / 주거비 낮음
1135010600,노원구,중계동,주거비관측,0.348296,0.192,33.253813,안정형,CI 낮음 / 주거비 낮음
1132010800,도봉구,도봉동,주거비관측,0.377193,0.1665,31.066099,안정형,CI 낮음 / 주거비 낮음
1132010600,도봉구,방학동,주거비관측,0.36889,0.1658,30.184242,안정형,CI 낮음 / 주거비 낮음
