법정동코드,시군구명,법정동명,관측품질,LDRI,neighbor_count,gi_star_z,gi_star_p,hotspot_class
1120011100,성동구,금호동3가,주거비관측,38.454611,4,-0.944538,0.344895,Not significant
1120011200,성동구,금호동4가,주거비관측,28.140924,6,-1.287158,0.198039,Not significant
1120011300,성동구,옥수동,주거비관측,33.408975,6,-0.582763,0.560053,Not significant
1120011400,성동구,성수동1가,주거비관측,37.874817,7,-0.697663,0.485388,Not significant
1120011500,성동구,성수동2가,주거비관측,46.310135,7,1.98025,0.047675,Hot Spot 95%
1120011800,성동구,송정동,주거비관측,56.517417,6,2.356257,0.01846,Hot Spot 95%
1120012200,성동구,용답동,주거비관측,83.909075,7,1.985371,0.047103,Hot Spot 95%
1121510100,광진구,중곡동,주거비관측,44.281917,6,0.893965,0.371341,Not significant
1121510200,광진구,능동,주거비관측,43.669442,4,1.104788,0.269251,Not significant
1121510300,광진구,구의동,주거비관측,39.15992,5,-0.161477,0.871717,Not significant
1121510400,광진구,광장동,주거비관측,21.420978,4,-1.262172,0.206887,Not significant
1121510500,광진구,자양동,주거비관측,39.914871,5,-0.140533,0.888239,Not significant
1121510700,광진구,화양동,주거비관측,55.482185,6,1.320414,0.186697,Not significant
1121510900,광진구,군자동,주거비관측,62.650115,4,1.622575,0.10468,Not significant
1123010100,동대문구,신설동,주거비관측,31.803737,6,1.315338,0.188396,Not significant
1123010200,동대문구,용두동,주거비관측,57.715758,10,0.743633,0.457099,Not significant
1123010300,동대문구,제기동,주거비관측,44.683571,5,1.358483,0.17431,Not significant
1123010400,동대문구,전농동,주거비관측,37.465559,7,0.367967,0.712898,Not significant
1123010500,동대문구,답십리동,주거비관측,38.47,4,1.338359,0.180779,Not significant
1123010600,동대문구,장안동,주거비관측,35.513069,7,0.779594,0.43563,Not significant
1123010700,동대문구,청량리동,주거비관측,56.021242,5,0.697173,0.485694,Not significant
1123010800,동대문구,회기동,주거비관측,53.963506,7,0.35308,0.724028,Not significant
1123010900,동대문구,휘경동,주거비관측,24.831538,7,0.334963,0.737653,Not significant
1123011000,동대문구,이문동,주거비관측,56.602212,5,0.02577,0.979441,Not significant
1126010100,중랑구,면목동,주거비관측,45.049373,5,-0.216288,0.828763,Not significant
1126010200,중랑구,상봉동,주거비관측,45.678765,6,-0.351655,0.725097,Not significant
1126010300,중랑구,중화동,주거비관측,48.16722,4,-0.078145,0.937713,Not significant
1126010400,중랑구,묵동,주거비관측,30.308987,7,-0.06767,0.946048,Not significant
1126010500,중랑구,망우동,주거비관측,46.564995,3,0.256813,0.797323,Not significant
1126010600,중랑구,신내동,주거비관측,36.985466,4,-0.366253,0.714176,Not significant
1129010100,성북구,성북동,주거비관측,43.879409,9,-0.816854,0.414012,Not significant
1129010200,성북구,성북동1가,주거비관측,40.669064,4,0.796579,0.425696,Not significant
1129010300,성북구,돈암동,주거비관측,43.465431,15,1.608269,0.107776,Not significant
1129010400,성북구,동소문동1가,주거비관측,31.875502,4,-0.174936,0.86113,Not significant
1129010700,성북구,동소문동4가,주거비관측,42.454619,3,-0.277516,0.781384,Not significant
1129010900,성북구,동소문동6가,주거비관측,40.437475,5,-0.015579,0.98757,Not significant
1129011000,성북구,동소문동7가,주거비관측,53.037854,3,0.267528,0.789063,Not significant
1129011100,성북구,삼선동1가,주거비관측,67.622499,5,1.397269,0.162333,Not significant
1129011200,성북구,삼선동2가,주거비관측,39.546029,6,1.93193,0.053368,Hot Spot 90%
1129011300,성북구,삼선동3가,주거비관측,54.489575,4,-0.137927,0.890298,Not significant
1129011400,성북구,삼선동4가,주거비관측,47.292649,4,1.468789,0.14189,Not significant
1129011500,성북구,삼선동5가,주거비관측,42.811309,7,0.593647,0.552749,Not significant
1129011600,성북구,동선동1가,주거비관측,43.899952,3,2.103211,0.035447,Hot Spot 95%
1129011700,성북구,동선동2가,주거비관측,73.306219,7,2.506767,0.012184,Hot Spot 95%
1129011800,성북구,동선동3가,주거비관측,80.294824,4,1.938457,0.052568,Hot Spot 90%
1129011900,성북구,동선동4가,주거비관측,32.223789,5,0.767232,0.442944,Not significant
1129012000,성북구,동선동5가,주거비관측,37.659602,4,-0.041291,0.967064,Not significant
1129012100,성북구,안암동1가,주거비관측,68.054576,6,1.585857,0.112772,Not significant
1129012200,성북구,안암동2가,주거비관측,24.215917,4,1.554513,0.120062,Not significant
1129012300,성북구,안암동3가,주거비관측,65.70205,5,0.027222,0.978283,Not significant
1129012400,성북구,안암동4가,주거비관측,39.993957,6,0.499263,0.617594,Not significant
1129012500,성북구,안암동5가,주거비관측,62.534443,8,1.629362,0.103236,Not significant
1129012600,성북구,보문동4가,주거비관측,18.589237,5,-0.284653,0.77591,Not significant
1129012700,성북구,보문동5가,주거비관측,40.420696,5,-2.413874,0.015784,Cold Spot 95%
1129012800,성북구,보문동6가,주거비관측,35.016376,5,-0.321835,0.747577,Not significant
1129012900,성북구,보문동7가,주거비관측,34.894561,6,0.114362,0.908951,Not significant
1129013000,성북구,보문동1가,주거비관측,39.812485,7,0.292275,0.770077,Not significant
1129013100,성북구,보문동2가,주거비관측,12.977683,5,-1.619126,0.10542,Not significant
1129013200,성북구,보문동3가,주거비관측,19.445108,7,0.162737,0.870725,Not significant
1129013300,성북구,정릉동,주거비관측,30.374488,7,-1.337267,0.181136,Not significant
1129013400,성북구,길음동,주거비관측,38.191715,4,-0.487726,0.625744,Not significant
1129013500,성북구,종암동,주거비관측,41.239113,5,1.09457,0.273705,Not significant
1129013600,성북구,하월곡동,주거비관측,42.039332,8,0.491629,0.622982,Not significant
1129013700,성북구,상월곡동,주거비관측,40.191139,4,0.261257,0.793894,Not significant
1129013800,성북구,장위동,주거비관측,43.850952,6,-0.05851,0.953342,Not significant
1129013900,성북구,석관동,주거비관측,36.921398,6,0.241948,0.80882,Not significant
1130510100,강북구,미아동,주거비관측,37.787558,6,-0.376565,0.706497,Not significant
1130510200,강북구,번동,주거비관측,49.166939,6,-0.359406,0.719291,Not significant
1130510300,강북구,수유동,주거비관측,35.190377,6,-0.743529,0.457162,Not significant
1130510400,강북구,우이동,주거비관측,37.508001,4,-1.122369,0.261705,Not significant
1132010500,도봉구,쌍문동,주거비관측,36.634995,5,-0.70194,0.482717,Not significant
