LDRI_rank,법정동코드,시군구명,법정동명,CI,주거비_압박지수,LDRI_raw,LDRI,LDRI_등급,위험유형
143,1117011700,용산구,원효로3가,0.38176,0.217,0.220465,42.284599,보통,이탈진행형
144,1135010400,노원구,하계동,0.420677,0.1973,0.219752,42.14788,보통,잠재위험형
145,1117011500,용산구,산천동,0.382839,0.2151,0.219053,42.013789,보통,이탈진행형
146,1117012400,용산구,한강로1가,0.410736,0.2009,0.218696,41.94534,보통,강제잔류·압박형
147,1144011800,마포구,당인동,0.391734,0.2097,0.218224,41.854734,보통,이탈진행형
148,1129013500,성북구,종암동,0.358464,0.228,0.218044,41.820319,보통,이탈진행형
149,1117011400,용산구,신창동,0.382508,0.2131,0.216723,41.566943,보통,이탈진행형
150,1114014800,중구,을지로6가,0.54315,0.1529,0.216254,41.476994,보통,잠재위험형
151,1159010200,동작구,상도동,0.405498,0.2012,0.216248,41.475705,보통,강제잔류·압박형
152,1159010400,동작구,본동,0.45923,0.1787,0.215992,41.426728,보통,잠재위험형
153,1117011900,용산구,효창동,0.335536,0.24,0.215364,41.306184,보통,이탈진행형
154,1154510300,금천구,시흥동,0.395848,0.2045,0.214756,41.189672,보통,이탈진행형
155,1168010100,강남구,역삼동,0.440982,0.1844,0.214442,41.129483,보통,잠재위험형
156,1117013200,용산구,동빙고동,0.297042,0.2684,0.214259,41.094392,보통,이탈진행형
157,1129010200,성북구,성북동1가,0.391788,0.2059,0.214089,41.061605,보통,이탈진행형
158,1144010200,마포구,공덕동,0.361204,0.2224,0.214052,41.054556,보통,이탈진행형
159,1114013600,중구,묵정동,0.506212,0.1606,0.212453,40.748003,보통,잠재위험형
160,1129012700,성북구,보문동5가,0.405291,0.1979,0.212395,40.736817,보통,잠재위험형
161,1141011700,서대문구,연희동,0.448292,0.1798,0.212227,40.704599,보통,잠재위험형
162,1171011100,송파구,방이동,0.374679,0.2129,0.212078,40.675962,보통,이탈진행형
163,1138010200,은평구,녹번동,0.384938,0.2069,0.211423,40.550286,보통,이탈진행형
164,1159010900,동작구,신대방동,0.368436,0.2152,0.210915,40.452934,보통,이탈진행형
165,1144011300,마포구,구수동,0.333333,0.2364,0.210592,40.390998,보통,이탈진행형
166,1129013700,성북구,상월곡동,0.428234,0.1863,0.21052,40.377112,보통,잠재위험형
167,1174010800,강동구,성내동,0.392661,0.2022,0.2105,40.373392,보통,이탈진행형
168,1121510500,광진구,자양동,0.392795,0.2018,0.210133,40.302869,보통,이탈진행형
169,1144012300,마포구,망원동,0.390708,0.2023,0.209563,40.19361,보통,이탈진행형
170,1129013000,성북구,보문동1가,0.4051,0.1952,0.209235,40.130648,보통,잠재위험형
171,1153010600,구로구,고척동,0.340844,0.2296,0.208852,40.057319,보통,이탈진행형
172,1129010900,성북구,동소문동6가,0.54845,0.1463,0.208237,39.939225,보통,잠재위험형
173,1111017000,종로구,명륜1가,0.472228,0.1678,0.207704,39.836983,보통,잠재위험형
174,1129011200,성북구,삼선동2가,0.425215,0.1848,0.207251,39.750188,보통,잠재위험형
175,1120010400,성동구,도선동,0.385829,0.2023,0.206946,39.69172,보통,이탈진행형
176,1121510300,광진구,구의동,0.391657,0.1988,0.206236,39.555577,보통,안정형
177,1135010200,노원구,월계동,0.411258,0.1896,0.205971,39.504758,보통,잠재위험형
178,1129013400,성북구,길음동,0.248076,0.3066,0.205455,39.405636,보통,이탈진행형
179,1141012000,서대문구,남가좌동,0.334387,0.2301,0.205364,39.388261,보통,이탈진행형
180,1129012400,성북구,안암동4가,0.582208,0.1364,0.204927,39.304379,보통,잠재위험형
181,1114017100,중구,중림동,0.41413,0.187,0.204397,39.202844,보통,잠재위험형
182,1120011100,성동구,금호동3가,0.332533,0.2302,0.204318,39.187693,보통,이탈진행형
183,1123010500,동대문구,답십리동,0.367632,0.2083,0.203357,39.003402,보통,이탈진행형
184,1120010200,성동구,하왕십리동,0.383985,0.199,0.202411,38.821968,보통,안정형
185,1144010900,마포구,염리동,0.327494,0.2312,0.202138,38.769583,보통,이탈진행형
186,1111017200,종로구,명륜4가,0.471554,0.1633,0.20147,38.641374,보통,잠재위험형
187,1138010800,은평구,역촌동,0.381936,0.1987,0.201011,38.553346,보통,안정형
188,1120011400,성동구,성수동1가,0.379821,0.1987,0.199898,38.339819,보통,안정형
189,1117012800,용산구,한강로3가,0.410593,0.1845,0.199779,38.317151,보통,잠재위험형
190,1117011800,용산구,원효로4가,0.382677,0.197,0.19958,38.278993,보통,안정형
191,1138010400,은평구,갈현동,0.399897,0.1888,0.199386,38.241766,보통,잠재위험형
192,1156012800,영등포구,양평동4가,0.408586,0.1847,0.199032,38.173775,보통,잠재위험형
193,1130510100,강북구,미아동,0.402287,0.1872,0.198777,38.124903,보통,잠재위험형
194,1138011000,은평구,증산동,0.329968,0.2259,0.198772,38.123941,보통,이탈진행형
195,1130510400,강북구,우이동,0.38002,0.1968,0.197982,37.972446,보통,안정형
196,1123010400,동대문구,전농동,0.387495,0.1928,0.19754,37.887552,보통,안정형
197,1114014600,중구,광희동2가,0.551896,0.1385,0.1975,37.880049,보통,잠재위험형
198,1126010600,중랑구,신내동,0.343329,0.215,0.19635,37.659443,보통,이탈진행형
199,1171010800,송파구,문정동,0.379637,0.1949,0.195764,37.547063,낮음,안정형
200,1129013900,성북구,석관동,0.397715,0.1853,0.194404,37.286109,낮음,안정형
201,1132010500,도봉구,쌍문동,0.362735,0.2017,0.19395,37.199134,낮음,이탈진행형
202,1129012000,성북구,동선동5가,0.545964,0.1375,0.19385,37.17986,낮음,잠재위험형
203,1111017900,종로구,홍파동,0.316753,0.2289,0.19347,37.107055,낮음,이탈진행형
204,1150010900,강서구,방화동,0.414838,0.1766,0.192676,36.954669,낮음,잠재위험형
205,1174010500,강동구,길동,0.38844,0.1876,0.19237,36.896057,낮음,안정형
206,1159010300,동작구,상도1동,0.429321,0.1707,0.192315,36.885531,낮음,잠재위험형
207,1171010400,송파구,송파동,0.370704,0.196,0.192299,36.882399,낮음,안정형
208,1135010300,노원구,공릉동,0.403958,0.18,0.191465,36.72244,낮음,잠재위험형
209,1150010100,강서구,염창동,0.369455,0.1957,0.191341,36.698676,낮음,안정형
210,1153010200,구로구,구로동,0.39831,0.1811,0.190014,36.444125,낮음,안정형
211,1150010300,강서구,화곡동,0.404406,0.1783,0.189754,36.394303,낮음,잠재위험형
212,1132010700,도봉구,창동,0.33563,0.2113,0.188473,36.148544,낮음,이탈진행형
213,1141010100,서대문구,충정로2가,0.411234,0.1742,0.18824,36.103942,낮음,잠재위험형
214,1123010600,동대문구,장안동,0.360977,0.1969,0.188162,36.088971,낮음,안정형
215,1120010500,성동구,마장동,0.409801,0.1747,0.188157,36.088084,낮음,잠재위험형
216,1141011100,서대문구,홍제동,0.340499,0.2079,0.187967,36.051645,낮음,이탈진행형
217,1159010800,동작구,대방동,0.398648,0.1784,0.187164,35.897518,낮음,잠재위험형
218,1159010500,동작구,흑석동,0.312342,0.2247,0.187106,35.886414,낮음,이탈진행형
219,1144012700,마포구,상암동,0.353229,0.1996,0.186792,35.826211,낮음,안정형
220,1168011400,강남구,일원동,0.302361,0.2293,0.185018,35.485994,낮음,이탈진행형
221,1120010700,성동구,행당동,0.402606,0.1745,0.184629,35.411308,낮음,잠재위험형
222,1111018600,종로구,신영동,0.291103,0.237,0.184401,35.367583,낮음,이탈진행형
223,1130510300,강북구,수유동,0.432368,0.163,0.184365,35.360687,낮음,잠재위험형
224,1129012800,성북구,보문동6가,0.405739,0.1729,0.184249,35.338436,낮음,잠재위험형
225,1111011800,종로구,내수동,0.342529,0.2028,0.1842,35.329102,낮음,이탈진행형
226,1129012900,성북구,보문동7가,0.404194,0.173,0.183661,35.225598,낮음,잠재위험형
227,1156012700,영등포구,양평동3가,0.42704,0.1638,0.183049,35.108325,낮음,잠재위험형
228,1168010400,강남구,청담동,0.292976,0.233,0.182308,34.966263,낮음,이탈진행형
