법정동코드,법정동코드8,시군구명,법정동명,CI,주거비자료_매칭여부,관측품질,주거비_압박지수,D1_score,LDRI_raw,LDRI,LDRI_rank,LDRI_등급,위험유형,차원비교유형
1135010300,11350103,노원구,공릉동,0.403958,매칭,주거비관측,0.18,0.18,0.072712,36.392408,206,낮음,잠재위험형,CI 높음 / 주거비 낮음
1135010500,11350105,노원구,상계동,0.353366,매칭,주거비관측,0.194,0.194,0.068553,34.156858,228,낮음,안정형,CI 낮음 / 주거비 낮음
1135010200,11350102,노원구,월계동,0.411258,매칭,주거비관측,0.1896,0.1896,0.077974,39.220693,177,보통,잠재위험형,CI 높음 / 주거비 낮음
1135010600,11350106,노원구,중계동,0.348296,매칭,주거비관측,0.192,0.192,0.066873,33.253813,237,낮음,안정형,CI 낮음 / 주거비 낮음
1135010400,11350104,노원구,하계동,0.420677,매칭,주거비관측,0.1973,0.1973,0.083,41.921639,143,보통,잠재위험형,CI 높음 / 주거비 낮음
1132010800,11320108,도봉구,도봉동,0.377193,매칭,주거비관측,0.1665,0.1665,0.062803,31.066099,257,낮음,안정형,CI 낮음 / 주거비 낮음
1132010600,11320106,도봉구,방학동,0.36889,매칭,주거비관측,0.1658,0.1658,0.061162,30.184242,269,매우낮음,안정형,CI 낮음 / 주거비 낮음
1132010500,11320105,도봉구,쌍문동,0.362735,매칭,주거비관측,0.2017,0.2017,0.073164,36.634995,204,낮음,이탈진행형,CI 낮음 / 주거비 높음
1132010700,11320107,도봉구,창동,0.33563,매칭,주거비관측,0.2113,0.2113,0.070919,35.428328,216,낮음,이탈진행형,CI 낮음 / 주거비 높음
1123010500,11230105,동대문구,답십리동,0.367632,매칭,주거비관측,0.2083,0.2083,0.076578,38.47,182,보통,이탈진행형,CI 낮음 / 주거비 높음
1123010100,11230101,동대문구,신설동,0.474316,매칭,주거비관측,0.1353,0.1353,0.064175,31.803737,249,낮음,잠재위험형,CI 높음 / 주거비 낮음
1123010200,11230102,동대문구,용두동,0.474398,매칭,주거비관측,0.2369,0.2369,0.112385,57.715758,46,매우높음,강제잔류·압박형,CI 높음 / 주거비 높음
1123011000,11230110,동대문구,이문동,0.433791,매칭,주거비관측,0.2543,0.2543,0.110313,56.602212,49,매우높음,강제잔류·압박형,CI 높음 / 주거비 높음
1123010600,11230106,동대문구,장안동,0.360977,매칭,주거비관측,0.1969,0.1969,0.071076,35.513069,215,낮음,안정형,CI 낮음 / 주거비 낮음
1123010400,11230104,동대문구,전농동,0.387495,매칭,주거비관측,0.1928,0.1928,0.074709,37.465559,197,보통,안정형,CI 낮음 / 주거비 낮음
1123010300,11230103,동대문구,제기동,0.491295,매칭,주거비관측,0.1794,0.1794,0.088138,44.683571,112,높음,잠재위험형,CI 높음 / 주거비 낮음
1123010700,11230107,동대문구,청량리동,0.482688,매칭,주거비관측,0.2263,0.2263,0.109232,56.021242,52,매우높음,강제잔류·압박형,CI 높음 / 주거비 높음
1123010800,11230108,동대문구,회기동,0.560957,매칭,주거비관측,0.1879,0.1879,0.105404,53.963506,62,매우높음,잠재위험형,CI 높음 / 주거비 낮음
1123010900,11230109,동대문구,휘경동,0.451925,매칭,주거비관측,0.1133,0.1133,0.051203,24.831538,297,매우낮음,잠재위험형,CI 높음 / 주거비 낮음
1159010100,11590101,동작구,노량진동,0.495965,매칭,주거비관측,0.2503,0.2503,0.12414,64.033909,25,매우높음,강제잔류·압박형,CI 높음 / 주거비 높음
1159010800,11590108,동작구,대방동,0.398648,매칭,주거비관측,0.1784,0.1784,0.071119,35.535942,214,낮음,잠재위험형,CI 높음 / 주거비 낮음
1159010600,11590106,동작구,동작동,0.320419,매칭,주거비관측,0.2755,0.2755,0.088276,44.757354,111,높음,이탈진행형,CI 낮음 / 주거비 높음
1159010400,11590104,동작구,본동,0.45923,매칭,주거비관측,0.1787,0.1787,0.082064,41.419001,149,보통,잠재위험형,CI 높음 / 주거비 낮음
